"","name","Rank","year","value","lastYear"
"199","Portugal",1,2012,10.86,10.86
"200","Republic of Moldova",1,2012,9.85,9.85
"201","Slovenia",1,2012,10.95,10.95
"202","Belarus",2,2012,14.14,14.14
"203","Cook Islands",2,2012,13.67,13.67
"204","Czechia",2,2012,12.97,12.97
"205","Italy",2,2012,7.48,7.48
"206","Lithuania",2,2012,15.15,15.15
"207","Luxembourg",2,2012,11.89,11.89
"208","Spain",2,2012,8.83,8.83
"209","United States of America",2,2012,8.86,8.86
"210","Belgium",3,2012,10.09,10.09
"211","Saint Lucia",3,2012,9.63,9.63
"212","Argentina",4,2012,8.35,8.35
"213","Bahamas",4,2012,8.86,8.86
"214","Germany",4,2012,11.76,11.76
"215","Bulgaria",5,2012,11.3,11.3
"216","Romania",5,2012,10.55,10.55
"217","Gabon",6,2012,8.27,8.27
"218","Republic of Korea",6,2012,8.98,8.98
"219","Slovakia",6,2012,10.66,10.66
"220","Switzerland",6,2012,9.87,9.87
"221","Bosnia and Herzegovina",7,2012,4.69,4.69
"222","Cyprus",7,2012,10.56,10.56
"223","Rwanda",7,2012,7.13,7.13
"224","Seychelles",7,2012,8.16,8.16
"225","Latvia",8,2012,10.2,10.2
"226","Uganda",8,2012,8.3,8.3
"227","Chile",9,2012,8.35,8.35
"228","Russian Federation",10,2012,10.89,10.89
"229","Andorra",11,2012,10.06,10.06
"230","Australia",11,2012,10.03,10.03
"231","Equatorial Guinea",11,2012,11.65,11.65
"232","Poland",11,2012,10.19,10.19
"233","Denmark",12,2012,9.1,9.1
"234","Uruguay",12,2012,8.47,8.47
"235","New Zealand",13,2012,9.24,9.24
"236","United Arab Emirates",13,2012,1.79,1.79
"237","Greece",14,2012,7.62,7.62
"238","Kazakhstan",14,2012,6.48,6.48
"239","Niue",14,2012,11.29,11.29
"240","Paraguay",14,2012,6.17,6.17
"241","Zambia",16,2012,2.96,2.96
"242","United Kingdom of Great Britain and Northern Ireland",17,2012,9.76,9.76
"243","Nigeria",18,2012,9.9,9.9
"244","South Africa",18,2012,7.26,7.26
"245","Haiti",19,2012,5.81,5.81
"246","Sao Tome and Principe",19,2012,4.83,4.83
"247","Burundi",20,2012,0,0
"248","Eswatini",20,2012,5.54,5.54
"249","Netherlands",20,2012,9.28,9.28
"250","Dominica",21,2012,8.48,8.48
"251","Grenada",21,2012,8.28,8.28
"252","Canada",22,2012,8.3,8.3
"253","Saint Kitts and Nevis",24,2012,8.46,8.46
"254","Serbia",24,2012,9.05,9.05
"255","Guyana",25,2012,5.13,5.13
"256","Peru",25,2012,5.38,5.38
"257","Austria",1,2011,11.9,11.9
"258","Croatia",1,2011,12.43,12.43
"259","Estonia",1,2011,16.27,16.27
"260","France",1,2011,12.37,12.37
"261","Hungary",1,2011,11.35,11.35
"262","Ireland",1,2011,11.65,11.65
"263","Portugal",1,2011,11.91,11.91
"264","Republic of Moldova",1,2011,8.67,8.67
"265","Slovenia",1,2011,10.61,10.61
"266","Belarus",2,2011,15.05,15.05
"267","Cook Islands",2,2011,7.07,7.07
"268","Czechia",2,2011,12.61,12.61
"269","Italy",2,2011,6.98,6.98
"270","Lithuania",2,2011,14.88,14.88
"271","Luxembourg",2,2011,12.01,12.01
"272","Spain",2,2011,9.01,9.01
"273","United States of America",2,2011,8.66,8.66
"274","Belgium",3,2011,10.14,10.14
"275","Saint Lucia",3,2011,10.26,10.26
"276","Argentina",4,2011,8.11,8.11
"277","Bahamas",4,2011,8.94,8.94
"278","Germany",4,2011,11.87,11.87
"279","Bulgaria",5,2011,11.05,11.05
"280","Romania",5,2011,10.4,10.4
"281","Gabon",6,2011,8.65,8.65
"282","Republic of Korea",6,2011,8.86,8.86
"283","Slovakia",6,2011,10.78,10.78
"284","Switzerland",6,2011,9.99,9.99
"285","Bosnia and Herzegovina",7,2011,4.65,4.65
"286","Cyprus",7,2011,10.7,10.7
"287","Rwanda",7,2011,7.3,7.3
"288","Seychelles",7,2011,8.58,8.58
"289","Latvia",8,2011,10.11,10.11
"290","Uganda",8,2011,11.59,11.59
"291","Chile",9,2011,7.02,7.02
"292","Russian Federation",10,2011,10.95,10.95
"293","Andorra",11,2011,10.31,10.31
"294","Australia",11,2011,10.3,10.3
"295","Equatorial Guinea",11,2011,10.78,10.78
"296","Poland",11,2011,10.21,10.21
"297","Denmark",12,2011,10.22,10.22
"298","Uruguay",12,2011,8.75,8.75
"299","New Zealand",13,2011,9.48,9.48
"300","United Arab Emirates",13,2011,1.76,1.76
"301","Greece",14,2011,8.03,8.03
"302","Kazakhstan",14,2011,6.35,6.35
"303","Niue",14,2011,5.99,5.99
"304","Paraguay",14,2011,6.6,6.6
"305","Zambia",16,2011,2.93,2.93
"306","United Kingdom of Great Britain and Northern Ireland",17,2011,10.02,10.02
"307","Nigeria",18,2011,10.13,10.13
"308","South Africa",18,2011,7.28,7.28
"309","Haiti",19,2011,5.71,5.71
"310","Sao Tome and Principe",19,2011,5.9,5.9
"311","Burundi",20,2011,4.16,4.16
"312","Eswatini",20,2011,5.95,5.95
"313","Netherlands",20,2011,9.17,9.17
"314","Dominica",21,2011,5.46,5.46
"315","Grenada",21,2011,8.11,8.11
"316","Canada",22,2011,8.2,8.2
"317","Saint Kitts and Nevis",24,2011,8.27,8.27
"318","Serbia",24,2011,8.96,8.96
"319","Guyana",25,2011,5.11,5.11
"320","Peru",25,2011,5.26,5.26
"321","Austria",1,2010,12.1,12.1
"322","Croatia",1,2010,12.11,12.11
"323","Estonia",1,2010,14.97,14.97
"324","France",1,2010,12.33,12.33
"325","Hungary",1,2010,10.75,10.75
"326","Ireland",1,2010,11.63,11.63
"327","Portugal",1,2010,12.23,12.23
"328","Republic of Moldova",1,2010,7.55,7.55
"329","Slovenia",1,2010,10.31,10.31
"330","Belarus",2,2010,13.88,13.88
"331","Cook Islands",2,2010,13.01,13.01
"332","Czechia",2,2010,12.65,12.65
"333","Italy",2,2010,6.95,6.95
"334","Lithuania",2,2010,13.61,13.61
"335","Luxembourg",2,2010,11.72,11.72
"336","Spain",2,2010,9.78,9.78
"337","United States of America",2,2010,8.56,8.56
"338","Belgium",3,2010,10.27,10.27
"339","Saint Lucia",3,2010,10.68,10.68
"340","Argentina",4,2010,8.15,8.15
"341","Bahamas",4,2010,8.75,8.75
"342","Germany",4,2010,11.35,11.35
"343","Bulgaria",5,2010,10.83,10.83
"344","Romania",5,2010,10.79,10.79
"345","Gabon",6,2010,8.86,8.86
"346","Republic of Korea",6,2010,8.9,8.9
"347","Slovakia",6,2010,10.55,10.55
"348","Switzerland",6,2010,10.01,10.01
"349","Bosnia and Herzegovina",7,2010,4.5,4.5
"350","Cyprus",7,2010,11.32,11.32
"351","Rwanda",7,2010,7.7,7.7
"352","Seychelles",7,2010,5.92,5.92
"353","Latvia",8,2010,9.83,9.83
"354","Uganda",8,2010,11.3,11.3
"355","Chile",9,2010,7.55,7.55
"356","Russian Federation",10,2010,10.98,10.98
"357","Andorra",11,2010,10.64,10.64
"358","Australia",11,2010,10.52,10.52
"359","Equatorial Guinea",11,2010,9.76,9.76
"360","Poland",11,2010,10.04,10.04
"361","Denmark",12,2010,10.24,10.24
"362","Uruguay",12,2010,8.52,8.52
"363","New Zealand",13,2010,9.63,9.63
"364","United Arab Emirates",13,2010,1.7,1.7
"365","Greece",14,2010,8.99,8.99
"366","Kazakhstan",14,2010,6.59,6.59
"367","Niue",14,2010,4.9,4.9
"368","Paraguay",14,2010,6.81,6.81
"369","Zambia",16,2010,2.95,2.95
"370","United Kingdom of Great Britain and Northern Ireland",17,2010,10.22,10.22
"371","Nigeria",18,2010,10.31,10.31
"372","South Africa",18,2010,7.28,7.28
"373","Haiti",19,2010,5.77,5.77
"374","Sao Tome and Principe",19,2010,5.8,5.8
"375","Burundi",20,2010,4.16,4.16
"376","Eswatini",20,2010,5.65,5.65
"377","Netherlands",20,2010,9.32,9.32
"378","Dominica",21,2010,7.45,7.45
"379","Grenada",21,2010,8.18,8.18
"380","Canada",22,2010,8.4,8.4
"381","Saint Kitts and Nevis",24,2010,8.38,8.38
"382","Serbia",24,2010,9.09,9.09
"383","Guyana",25,2010,5.08,5.08
"384","Peru",25,2010,5.28,5.28
"385","Austria",1,2009,11.3,11.3
"386","Croatia",1,2009,12.07,12.07
"387","Estonia",1,2009,14.32,14.32
"388","France",1,2009,12.3,12.3
"389","Hungary",1,2009,11.46,11.46
"390","Ireland",1,2009,11.27,11.27
"391","Portugal",1,2009,12.03,12.03
"392","Republic of Moldova",1,2009,7.77,7.77
"393","Slovenia",1,2009,10.52,10.52
"394","Belarus",2,2009,13.97,13.97
"395","Cook Islands",2,2009,9.89,9.89
"396","Czechia",2,2009,13.31,13.31
"397","Italy",2,2009,6.4,6.4
"398","Lithuania",2,2009,12.4,12.4
"399","Luxembourg",2,2009,11.6,11.6
"400","Spain",2,2009,9.99,9.99
"401","United States of America",2,2009,8.71,8.71
"402","Belgium",3,2009,10.1,10.1
"403","Saint Lucia",3,2009,10.83,10.83
"404","Argentina",4,2009,8.33,8.33
"405","Bahamas",4,2009,8.63,8.63
"406","Germany",4,2009,11.61,11.61
"407","Bulgaria",5,2009,10.96,10.96
"408","Romania",5,2009,11.77,11.77
"409","Gabon",6,2009,8.61,8.61
"410","Republic of Korea",6,2009,8.97,8.97
"411","Slovakia",6,2009,10.69,10.69
"412","Switzerland",6,2009,10.15,10.15
"413","Bosnia and Herzegovina",7,2009,4.71,4.71
"414","Cyprus",7,2009,10.81,10.81
"415","Rwanda",7,2009,7.35,7.35
"416","Seychelles",7,2009,5.53,5.53
"417","Latvia",8,2009,9.85,9.85
"418","Uganda",8,2009,10.88,10.88
"419","Chile",9,2009,7.67,7.67
"420","Russian Federation",10,2009,11.25,11.25
"421","Andorra",11,2009,10.8,10.8
"422","Australia",11,2009,10.62,10.62
"423","Equatorial Guinea",11,2009,7.89,7.89
"424","Poland",11,2009,10.7,10.7
"425","Denmark",12,2009,10.09,10.09
"426","Uruguay",12,2009,6.67,6.67
"427","New Zealand",13,2009,9.23,9.23
"428","United Arab Emirates",13,2009,1.72,1.72
"429","Greece",14,2009,9.07,9.07
"430","Kazakhstan",14,2009,6.44,6.44
"431","Niue",14,2009,7.06,7.06
"432","Paraguay",14,2009,6.64,6.64
"433","Zambia",16,2009,2.5,2.5
"434","United Kingdom of Great Britain and Northern Ireland",17,2009,10.14,10.14
"435","Nigeria",18,2009,10.49,10.49
"436","South Africa",18,2009,8.03,8.03
"437","Haiti",19,2009,5.9,5.9
"438","Sao Tome and Principe",19,2009,4.31,4.31
"439","Burundi",20,2009,4.05,4.05
"440","Eswatini",20,2009,5.63,5.63
"441","Netherlands",20,2009,9.22,9.22
"442","Dominica",21,2009,7.45,7.45
"443","Grenada",21,2009,8.42,8.42
"444","Canada",22,2009,8.4,8.4
"445","Saint Kitts and Nevis",24,2009,9.68,9.68
"446","Serbia",24,2009,8.6,8.6
"447","Guyana",25,2009,5.08,5.08
"448","Peru",25,2009,5.18,5.18
"449","Austria",1,2008,12,12
"450","Croatia",1,2008,12.3,12.3
"451","Estonia",1,2008,16.38,16.38
"452","France",1,2008,12.3,12.3
"453","Hungary",1,2008,11.64,11.64
"454","Ireland",1,2008,12.42,12.42
"455","Portugal",1,2008,12.35,12.35
"456","Republic of Moldova",1,2008,8.35,8.35
"457","Slovenia",1,2008,10.94,10.94
"458","Belarus",2,2008,14.54,14.54
"459","Cook Islands",2,2008,9.18,9.18
"460","Czechia",2,2008,13.35,13.35
"461","Italy",2,2008,6.84,6.84
"462","Lithuania",2,2008,13.3,13.3
"463","Luxembourg",2,2008,11.72,11.72
"464","Spain",2,2008,10.24,10.24
"465","United States of America",2,2008,8.74,8.74
"466","Belgium",3,2008,10.51,10.51
"467","Saint Lucia",3,2008,11.82,11.82
"468","Argentina",4,2008,8.41,8.41
"469","Bahamas",4,2008,9.53,9.53
"470","Germany",4,2008,11.75,11.75
"471","Bulgaria",5,2008,11.01,11.01
"472","Romania",5,2008,13.11,13.11
"473","Gabon",6,2008,8.73,8.73
"474","Republic of Korea",6,2008,9.31,9.31
"475","Slovakia",6,2008,11.43,11.43
"476","Switzerland",6,2008,10.29,10.29
"477","Bosnia and Herzegovina",7,2008,5.09,5.09
"478","Cyprus",7,2008,12.03,12.03
"479","Rwanda",7,2008,7.57,7.57
"480","Seychelles",7,2008,6.76,6.76
"481","Latvia",8,2008,11.84,11.84
"482","Uganda",8,2008,11.12,11.12
"483","Chile",9,2008,7.31,7.31
"484","Russian Federation",10,2008,12.09,12.09
"485","Andorra",11,2008,10.97,10.97
"486","Australia",11,2008,10.76,10.76
"487","Equatorial Guinea",11,2008,8.28,8.28
"488","Poland",11,2008,11.4,11.4
"489","Denmark",12,2008,10.71,10.71
"490","Uruguay",12,2008,6.76,6.76
"491","New Zealand",13,2008,9.47,9.47
"492","United Arab Emirates",13,2008,1.82,1.82
"493","Greece",14,2008,9.52,9.52
"494","Kazakhstan",14,2008,7.4,7.4
"495","Niue",14,2008,7.02,7.02
"496","Paraguay",14,2008,7.69,7.69
"497","Zambia",16,2008,2.31,2.31
"498","United Kingdom of Great Britain and Northern Ireland",17,2008,10.78,10.78
"499","Nigeria",18,2008,10.71,10.71
"500","South Africa",18,2008,8.6,8.6
"501","Haiti",19,2008,6,6
"502","Sao Tome and Principe",19,2008,4.53,4.53
"503","Burundi",20,2008,4.33,4.33
"504","Eswatini",20,2008,5.62,5.62
"505","Netherlands",20,2008,9.61,9.61
"506","Dominica",21,2008,9.74,9.74
"507","Grenada",21,2008,8.92,8.92
"508","Canada",22,2008,8.3,8.3
"509","Saint Kitts and Nevis",24,2008,10.07,10.07
"510","Serbia",24,2008,8.61,8.61
"511","Guyana",25,2008,5.02,5.02
"512","Peru",25,2008,5.14,5.14
"513","Austria",1,2007,12.5,12.5
"514","Croatia",1,2007,12.28,12.28
"515","Estonia",1,2007,17.37,17.37
"516","France",1,2007,12.6,12.6
"517","Hungary",1,2007,12.55,12.55
"518","Ireland",1,2007,13.37,13.37
"519","Portugal",1,2007,12.59,12.59
"520","Republic of Moldova",1,2007,8.94,8.94
"521","Slovenia",1,2007,11.02,11.02
"522","Belarus",2,2007,13.86,13.86
"523","Cook Islands",2,2007,9.59,9.59
"524","Czechia",2,2007,13.35,13.35
"525","Italy",2,2007,7.19,7.19
"526","Lithuania",2,2007,13.4,13.4
"527","Luxembourg",2,2007,11.94,11.94
"528","Spain",2,2007,11.05,11.05
"529","United States of America",2,2007,8.74,8.74
"530","Belgium",3,2007,13.43,13.43
"531","Saint Lucia",3,2007,12.43,12.43
"532","Argentina",4,2007,8.16,8.16
"533","Bahamas",4,2007,10.02,10.02
"534","Germany",4,2007,11.89,11.89
"535","Bulgaria",5,2007,10.92,10.92
"536","Romania",5,2007,11.6,11.6
"537","Gabon",6,2007,8.99,8.99
"538","Republic of Korea",6,2007,9.05,9.05
"539","Slovakia",6,2007,10.63,10.63
"540","Switzerland",6,2007,10.44,10.44
"541","Bosnia and Herzegovina",7,2007,5.11,5.11
"542","Cyprus",7,2007,11.58,11.58
"543","Rwanda",7,2007,7.89,7.89
"544","Seychelles",7,2007,7.49,7.49
"545","Latvia",8,2007,12.12,12.12
"546","Uganda",8,2007,10.9,10.9
"547","Chile",9,2007,7.39,7.39
"548","Russian Federation",10,2007,12.23,12.23
"549","Andorra",11,2007,11.53,11.53
"550","Australia",11,2007,10.56,10.56
"551","Equatorial Guinea",11,2007,6.81,6.81
"552","Poland",11,2007,10.9,10.9
"553","Denmark",12,2007,11,11
"554","Uruguay",12,2007,6.67,6.67
"555","New Zealand",13,2007,9.19,9.19
"556","United Arab Emirates",13,2007,1.62,1.62
"557","Greece",14,2007,9.7,9.7
"558","Kazakhstan",14,2007,7.26,7.26
"559","Niue",14,2007,5.02,5.02
"560","Paraguay",14,2007,6.66,6.66
"561","Zambia",16,2007,2.78,2.78
"562","United Kingdom of Great Britain and Northern Ireland",17,2007,11.14,11.14
"563","Nigeria",18,2007,10.98,10.98
"564","South Africa",18,2007,8.83,8.83
"565","Haiti",19,2007,6.15,6.15
"566","Sao Tome and Principe",19,2007,4.29,4.29
"567","Burundi",20,2007,4.54,4.54
"568","Eswatini",20,2007,6.32,6.32
"569","Netherlands",20,2007,9.51,9.51
"570","Dominica",21,2007,8.51,8.51
"571","Grenada",21,2007,9.04,9.04
"572","Canada",22,2007,8.3,8.3
"573","Saint Kitts and Nevis",24,2007,10.14,10.14
"574","Serbia",24,2007,8.72,8.72
"575","Guyana",25,2007,5.09,5.09
"576","Peru",25,2007,4.7,4.7
"577","Austria",1,2006,12.4,12.4
"578","Croatia",1,2006,11.84,11.84
"579","Estonia",1,2006,15.83,15.83
"580","France",1,2006,12.4,12.4
"581","Hungary",1,2006,13.16,13.16
"582","Ireland",1,2006,13.38,13.38
"583","Portugal",1,2006,13.12,13.12
"584","Republic of Moldova",1,2006,7.72,7.72
"585","Slovenia",1,2006,12.26,12.26
"586","Belarus",2,2006,12.53,12.53
"587","Cook Islands",2,2006,7.32,7.32
"588","Czechia",2,2006,13.12,13.12
"589","Italy",2,2006,7.26,7.26
"590","Lithuania",2,2006,12.7,12.7
"591","Luxembourg",2,2006,12.17,12.17
"592","Spain",2,2006,11.86,11.86
"593","United States of America",2,2006,8.63,8.63
"594","Belgium",3,2006,10.94,10.94
"595","Saint Lucia",3,2006,13.22,13.22
"596","Argentina",4,2006,7.75,7.75
"597","Bahamas",4,2006,10.29,10.29
"598","Germany",4,2006,12.14,12.14
"599","Bulgaria",5,2006,10.42,10.42
"600","Romania",5,2006,10.29,10.29
"601","Gabon",6,2006,7.98,7.98
"602","Republic of Korea",6,2006,8.83,8.83
"603","Slovakia",6,2006,10.31,10.31
"604","Switzerland",6,2006,10.24,10.24
"605","Bosnia and Herzegovina",7,2006,4.78,4.78
"606","Cyprus",7,2006,11.48,11.48
"607","Rwanda",7,2006,8.85,8.85
"608","Seychelles",7,2006,7.01,7.01
"609","Latvia",8,2006,10.4,10.4
"610","Uganda",8,2006,11.09,11.09
"611","Chile",9,2006,7.33,7.33
"612","Russian Federation",10,2006,11.83,11.83
"613","Andorra",11,2006,12.03,12.03
"614","Australia",11,2006,10.31,10.31
"615","Equatorial Guinea",11,2006,7.23,7.23
"616","Poland",11,2006,10.4,10.4
"617","Denmark",12,2006,11.02,11.02
"618","Uruguay",12,2006,6.58,6.58
"619","New Zealand",13,2006,9.35,9.35
"620","United Arab Emirates",13,2006,1.62,1.62
"621","Greece",14,2006,9.47,9.47
"622","Kazakhstan",14,2006,6.91,6.91
"623","Niue",14,2006,7.1,7.1
"624","Paraguay",14,2006,6.51,6.51
"625","Zambia",16,2006,2.49,2.49
"626","United Kingdom of Great Britain and Northern Ireland",17,2006,10.96,10.96
"627","Nigeria",18,2006,11.09,11.09
"628","South Africa",18,2006,8.78,8.78
"629","Haiti",19,2006,6.26,6.26
"630","Sao Tome and Principe",19,2006,5.63,5.63
"631","Burundi",20,2006,4.5,4.5
"632","Eswatini",20,2006,6.24,6.24
"633","Netherlands",20,2006,9.78,9.78
"634","Dominica",21,2006,8.62,8.62
"635","Grenada",21,2006,9.05,9.05
"636","Canada",22,2006,8.2,8.2
